;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1830231811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;1830241811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;1830251811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1830261811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;1830271811М;;;;;;;;;;;;;
;;;СПЕЦИАЛЬНАЯ ТЕХНИКА - ГРУППА;1830381811Я;;;;;;;;;;;;;
;;;СПЕЦИАЛЬНАЯ ТЕХНИКА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1830391811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1830011811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;1830021811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;1830031811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;1830041811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1830051811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1830061811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 48+ КГ;1830071811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1830081811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1830091811Ю;;;;;;;;;;;;;
;;;СПАРРИНГ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1830281811Я;;;;;;;;;;;;;
;;;СПАРРИНГ - ПОСТАНОВОЧНЫЙ;1830291811Я;;;;;;;;;;;;;
;;;ТУЛЬ - 12 УПРАЖНЕНИЙ;1830301811Я;;;;;;;;;;;;;
;;;ТУЛЬ - 15 УПРАЖНЕНИЙ;1830311811Я;;;;;;;;;;;;;
;;;ТУЛЬ - 18 УПРАЖНЕНИЙ;1830321811Я;;;;;;;;;;;;;
;;;ТУЛЬ - 21 УПРАЖНЕНИЕ;1830331811Л;;;;;;;;;;;;;
;;;ТУЛЬ - ГРУППА;1830341811Я;;;;;;;;;;;;;
;;;РАЗБИВАНИЕ ДОСОК;1830351811Я;;;;;;;;;;;;;
;;;РАЗБИВАНИЕ ДОСОК - ГРУППА;1830361811Я;;;;;;;;;;;;;
;;;СПЕЦИАЛЬНАЯ ТЕХНИКА;1830371811Я;;;;;;;;;;;;;
3;ПРЫЖКИ НА ЛЫЖАХ С ТРАМПЛИНА;0410005611Я;HS 85 - 109, СВЫШЕ 110 - КОМАНДНЫЕ СОРЕВНОВАНИЯ (2 ЧЕЛОВЕКА);0410133811Л;;;;;;;;;;;;;
;;;HS 85 - 109;0410013611Я;;;;;;;;;;;;;
;;;HS 50 - 84 - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ;0410103811Н;;;;;;;;;;;;;
;;;HS 50 - 84 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0410063811Н;;;;;;;;;;;;;
;;;HS 50 - 84;0410053811Н;;;;;;;;;;;;;
;;;HS 20 - 49 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0410083811Н;;;;;;;;;;;;;
;;;HS 20 - 49;0410073811Н;;;;;;;;;;;;;
;;;HS 85 - 109, СВЫШЕ 110 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0410033611Я;;;;;;;;;;;;;
;;;HS 85-109, СВЫШЕ 110 (БЕЗ СНЕГА) - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0410121811М;;;;;;;;;;;;;
;;;HS 85-109, СВЫШЕ 110 (БЕЗ СНЕГА);0410111811Л;;;;;;;;;;;;;
;;;HS СВЫШЕ 185 (ПОЛЕТЫ НА ЛЫЖАХ);0410043811М;;;;;;;;;;;;;
;;;HS СВЫШЕ 110;0410023611Л;;;;;;;;;;;;;
;;;HS 85 - 109, СВЫШЕ 110 - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ;0410093611Я;;;;;;;;;;;;;
4;ЭСТЕТИЧЕСКАЯ ГИМНАСТИКА;0580001411Б;ЭСТЕТИЧЕСКАЯ ГИМНАСТИКА;0580011811Б;;;;;;;;;;;;;
5;САМОЛЕТНЫЙ СПОРТ;1600001411Л;ПСВП КЛАСС ПРОМЕЖУТОЧНЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 3;1600311811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - ИЗВЕСТНАЯ ПРОГРАММА;1600021811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1600031811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - МНОГОБОРЬЕ;1600041811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 1;1600051811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 2;1600061811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 3;1600011811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС НЕОГРАНИЧЕННЫЙ - ФРИСТАЙЛ;1600081811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - ИЗВЕСТНАЯ ПРОГРАММА;1600091811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1600101811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - МНОГОБОРЬЕ;1600111811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - НЕИЗВЕСТНАЯ ПРОГРАММА -1;1600121811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - НЕИЗВЕСТНАЯ ПРОГРАММА - 2;1600131811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - НЕИЗВЕСТНАЯ ПРОГРАММА - 3;1600071811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС С ОГРАНИЧЕНИЯМИ - ПРОИЗВОЛЬНАЯ ПРОГРАММА;1600141811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ПРОМЕЖУТОЧНЫЙ - ИЗВЕСТНАЯ ПРОГРАММА;1600271811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ПРОМЕЖУТОЧНЫЙ - МНОГОБОРЬЕ;1600281811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ПРОМЕЖУТОЧНЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 1;1600291811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ПРОМЕЖУТОЧНЫЙ - НЕИЗВЕСТНАЯ ПРОГРАММА - 2;1600301811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - ИЗВЕСТНАЯ ПРОГРАММА;1600151811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1600161811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - НЕИЗВЕСТНАЯ ПРОГРАММА - 1;1600181811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - НЕИЗВЕСТНАЯ ПРОГРАММА - 2;1600191811Л;;;;;;;;;;;;;
;;;САМОЛЕТОВОЖДЕНИЕ В ГОРАХ;1600241811Л;;;;;;;;;;;;;
;;;ТОЧНОЕ САМОЛЕТОВОЖДЕНИЕ;1600251811Л;;;;;;;;;;;;;
;;;ИСТОРИЧЕСКИЕ И САМОДЕЛЬНЫЕ ЛА;1600261811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - МНОГОБОРЬЕ;1600171811Л;;;;;;;;;;;;;
;;;ПСВП КЛАСС ЯК-52 - НЕИЗВЕСТНАЯ ПРОГРАММА - 3;1600201811Л;;;;;;;;;;;;;
;;;АВИАГОНКИ;1600211811Л;;;;;;;;;;;;;
;;;АВИАГОНКИ - ФОРМУЛА-1;1600221811Л;;;;;;;;;;;;;
;;;АВИАРАЛЛИ;1600231811Л;;;;;;;;;;;;;
6;МНОГОБОРЬЕ ГОТОВ К ТРУДУ И ОБОРОНЕ;1960001311Я;3-БОРЬЕ С ЛЫЖНОЙ ГОНКОЙ;1960031811Я;;;;;;;;;;;;;
;;;3-БОРЬЕ С ПЛАВАНИЕМ;1960021811Я;;;;;;;;;;;;;
;;;3-БОРЬЕ С БЕГОМ;1960011811Я;;;;;;;;;;;;;
7;БОУЛИНГ;0630002511Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ (5 ЧЕЛОВЕК);0630062811Л;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА);0630022811Я;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ (4 ЧЕЛОВЕКА) - СМЕШАННЫЕ;0630072811Я;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ (4 ЧЕЛОВЕКА);0630052811Я;;;;;;;;;;;;;
;;;ПАРНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ;0630044218Н;;;;;;;;;;;;;
;;;ПАРНЫЕ СОРЕВНОВАНИЯ;0630034314Л;;;;;;;;;;;;;
;;;ЛИЧНЫЕ СОРЕВНОВАНИЯ;0630013113Я;;;;;;;;;;;;;
8;ШАШКИ;0890002411Я;РЭНДЗЮ;0890132811Я;;;;;;;;;;;;;
;;;ШАШЕЧНАЯ КОМПОЗИЦИЯ;0890052811Я;;;;;;;;;;;;;
;;;ОБРАТНАЯ ИГРА В ШАШКИ (ПОДДАВКИ);0890042811Я;;;;;;;;;;;;;
;;;ИГРА ПО ПЕРЕПИСКЕ;0890032811Я;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ;0890022811Я;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ - МОЛНИЕНОСНАЯ ИГРА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890152811Л;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ-МОЛНИЕНОСНАЯ ИГРА;0890092811Я;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ-КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890072811Я;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ - БЫСТРАЯ ИГРА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890162811Л;;;;;;;;;;;;;
;;;СТОКЛЕТОЧНЫЕ ШАШКИ-БЫСТРАЯ ИГРА;0890082811Я;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ - МОЛНИЕНОСНАЯ ИГРА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890012811Л;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ-МОЛНИЕНОСНАЯ ИГРА;0890112811Я;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ-КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890062811Я;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ - БЫСТРАЯ ИГРА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0890142811Л;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ-БЫСТРАЯ ИГРА;0890102811Я;;;;;;;;;;;;;
;;;РУССКИЕ ШАШКИ;0890122811Я;;;;;;;;;;;;;
9;ФИГУРНОЕ КАТАНИЕ НА КОНЬКАХ;0500003611Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ;0500053611Л;;;;;;;;;;;;;
;;;СИНХРОННОЕ КАТАНИЕ;0500043811Я;;;;;;;;;;;;;
;;;ТАНЦЫ НА ЛЬДУ;0500033611Я;;;;;;;;;;;;;
;;;ПАРНОЕ КАТАНИЕ;0500023611Я;;;;;;;;;;;;;
;;;ОДИНОЧНОЕ КАТАНИЕ;0500013611Я;;;;;;;;;;;;;
10;ПУЛЕВАЯ СТРЕЛЬБА;0440001611Я;ВП/ДМ-120 МИКС, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 40 ВЫСТРЕЛОВ);0440101811Я;;;;;;;;;;;;;
;;;ВП/ДМ-180, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ);0440111811Я;;;;;;;;;;;;;
;;;МВ-20, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 25 ИЛИ 50 М, 20 ВЫСТРЕЛОВ С УПОРА ЛЕЖА;0440121811Я;;;;;;;;;;;;;
;;;МВ-30, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 25 ИЛИ 50 М, 30 ВЫСТРЕЛОВ ЛЕЖА;0440131811Я;;;;;;;;;;;;;
;;;МП-30СС, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 30 ВЫСТРЕЛОВ, СКОРОСТНАЯ СТРЕЛЬБА ПО 5 МИШЕНЯМ, 8-6-4 СЕКУНДЫ;0440471811А;;;;;;;;;;;;;
;;;МП-60СС, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 60 ВЫСТРЕЛОВ (2Х30), СКОРОСТНАЯ СТРЕЛЬБА ПО 5 МИШЕНЯМ, 8-6-4 СЕКУНДЫ;0440491611А;;;;;;;;;;;;;
;;;МП-60М, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 60 ВЫСТРЕЛОВ (20+20+20), ОГРАНИЧЕННОЕ ВРЕМЯ 150-20-10 СЕКУНД;0440501811Я;;;;;;;;;;;;;
;;;МП-СС-ПС, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ, 25 М, СКОРОСТНАЯ СТРЕЛЬБА, ПАРА СМЕШАННАЯ;0440291811Я;;;;;;;;;;;;;
;;;МПС-ПС, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, ОГРАНИЧЕННОЕ ВРЕМЯ 150-20-10 СЕКУНД, ПАРА СМЕШАННАЯ;0440271811Я;;;;;;;;;;;;;
;;;"МП-90, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ),
НЕПОДВИЖНАЯ МИШЕНЬ";0440511811Я;;;;;;;;;;;;;
;;;МП-90С, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ) СКОРОСТНАЯ СТРЕЛЬБА, 3 СЕКУНДЫ НА ВЫСТРЕЛ;0440521811Я;;;;;;;;;;;;;
;;;МП-180М, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ) ОГРАНИЧЕННОЕ ВРЕМЯ 150-20-10 СЕКУНД;0440551811Я;;;;;;;;;;;;;
;;;МПП-30, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ ПРОИЗВОЛЬНЫЙ, 50 М, 30 ВЫСТРЕЛОВ;0440561811Я;;;;;;;;;;;;;
;;;МПП-40, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ ПРОИЗВОЛЬНЫЙ, 50 М, 40 ВЫСТРЕЛОВ;0440571811А;;;;;;;;;;;;;
;;;МПП-60, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ, 50 М, 60 ВЫСТРЕЛОВ;0440581811Я;;;;;;;;;;;;;
;;;МПП-ПС, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ, 50 М, ПАРА СМЕШАННАЯ;0440281811Я;;;;;;;;;;;;;
;;;МПП-30+30, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ ПРОИЗВОЛЬНЫЙ, 50 М, 60 ВЫСТРЕЛОВ, ПАРА СМЕШАННАЯ;0440591811Я;;;;;;;;;;;;;
;;;МПП-120, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 40 ВЫСТРЕЛОВ);0440601811А;;;;;;;;;;;;;
;;;МВ-60, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 60 ВЫСТРЕЛОВ ЛЕЖА;0440141811Я;;;;;;;;;;;;;
;;;МВ-3Х20, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 60 ВЫСТРЕЛОВ (3Х20), ТРИ ПОЛОЖЕНИЯ;0440151611Я;;;;;;;;;;;;;
;;;МВ/ДМ-120, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 40 ВЫСТРЕЛОВ);0440241811А;;;;;;;;;;;;;
;;;МВ/ДМ-120 МИКС, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 40 ВЫСТРЕЛОВ) МИКС;0440251811А;;;;;;;;;;;;;
;;;МВ/ДМ-180, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ);0440261811А;;;;;;;;;;;;;
;;;ПП-20, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, 20 ВЫСТРЕЛОВ СТОЯ С УПОРА (ШТАТИВ);0440371811Я;;;;;;;;;;;;;
;;;ПП-30, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, 30 ВЫСТРЕЛОВ;0440381811Н;;;;;;;;;;;;;
;;;ПП-40, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, 40 ВЫСТРЕЛОВ;0440391611Я;;;;;;;;;;;;;
;;;ПП-60, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, 60 ВЫСТРЕЛОВ;0440401611Я;;;;;;;;;;;;;
;;;ПП-ПС, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, ПАРА СМЕШАННАЯ;0440411611Я;;;;;;;;;;;;;
;;;ПП-120, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 40 ВЫСТРЕЛОВ);0440421811Я;;;;;;;;;;;;;
;;;МП-20, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 20 ВЫСТРЕЛОВ, НЕПОДВИЖНАЯ МИШЕНЬ;0440441811Я;;;;;;;;;;;;;
;;;МП-30, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 30 ВЫСТРЕЛОВ, НЕПОДВИЖНАЯ МИШЕНЬ;0440451811Я;;;;;;;;;;;;;
;;;МП-30С, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 30 ВЫСТРЕЛОВ, СКОРОСТНАЯ СТРЕЛЬБА, 3 СЕКУНДЫ НА ВЫСТРЕЛ;0440461811Я;;;;;;;;;;;;;
;;;МП-60, ПИСТОЛЕТ МАЛОКАЛИБЕРНЫЙ СТАНДАРТНЫЙ, 25 М, 60 ВЫСТРЕЛОВ (30+30);0440481611Я;;;;;;;;;;;;;
;;;ВП/ДМ-20, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 20 ВЫСТРЕЛОВ, ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ СКОРОСТЬ;0440071811Я;;;;;;;;;;;;;
;;;ВП/ДМ-40 МИКС, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 40 ВЫСТРЕЛОВ (20+20), ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ И БЫСТРАЯ СКОРОСТИ - МИКС;0440081811Я;;;;;;;;;;;;;
;;;ВП/ДМ-60, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 60 ВЫСТРЕЛОВ (30+30), ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ И БЫСТРАЯ СКОРОСТИ;0440091811Я;;;;;;;;;;;;;
;;;ВП/ДМ-ПС, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, ДВИЖУЩАЯСЯ МИШЕНЬ, ПАРА СМЕШАННАЯ;0440201811Я;;;;;;;;;;;;;
;;;ВП-90, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ);0440061811Я;;;;;;;;;;;;;
;;;МВ-135 ТРИ ПОЛОЖЕНИЯ, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 45 ВЫСТРЕЛОВ), ТРИ ПОЛОЖЕНИЯ;0440181811Я;;;;;;;;;;;;;
;;;ПП-90, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ);0440431811Я;;;;;;;;;;;;;
;;;МП-90, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ);0440531811Я;;;;;;;;;;;;;
;;;МП-90СС, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 30 ВЫСТРЕЛОВ) СКОРОСТНАЯ СТРЕЛЬБА ПО 5 МИШЕНЯМ;0440541811А;;;;;;;;;;;;;
;;;ПП-СС, ПИСТОЛЕТ ПНЕВМАТИЧЕСКИЙ, 10 М, СКОРОСТНАЯ СТРЕЛЬБА ПО ПЯТИ МИШЕНЯМ;0440331811Я;;;;;;;;;;;;;
;;;ВП-20, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 20 ВЫСТРЕЛОВ С УПОРА ЛЕЖА;0440011811Я;;;;;;;;;;;;;
;;;ВП-30, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 30 ВЫСТРЕЛОВ ЛЕЖА;0440021811Н;;;;;;;;;;;;;
;;;ВП-40, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 40 ВЫСТРЕЛОВ СТОЯ;0440031611Я;;;;;;;;;;;;;
;;;ВП-60, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, 60 ВЫСТРЕЛОВ СТОЯ;0440041611Я;;;;;;;;;;;;;
;;;ВП-ПС, ВИНТОВКА ПНЕВМАТИЧЕСКАЯ, 10 М, ПАРА СМЕШАННАЯ;0440051611Я;;;;;;;;;;;;;
;;;МВ-3Х40, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 120 ВЫСТРЕЛОВ (3Х40), ТРИ ПОЛОЖЕНИЯ;0440161611Я;;;;;;;;;;;;;
;;;МВ-ПС, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, ПАРА СМЕШАННАЯ, ЛЕЖА;0440311811Я;;;;;;;;;;;;;
;;;МВ - ТРИ ПОЛОЖЕНИЯ - ПС, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, ТРИ ПОЛОЖЕНИЯ, ПАРА СМЕШАННАЯ;0440301811Я;;;;;;;;;;;;;
;;;МВ/ДМ-ПС, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, ДВИЖУЩАЯСЯ МИШЕНЬ, ПАРА СМЕШАННАЯ;0440321811Я;;;;;;;;;;;;;
;;;МВ-180 ЛЕЖА, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ), ЛЕЖА;0440171811Я;;;;;;;;;;;;;
;;;МВ-360, ТРИ ПОЛОЖЕНИЯ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 120 ВЫСТРЕЛОВ);0440191811Я;;;;;;;;;;;;;
